crioulo,phono,phono_TRSV,phono_CV
Bordiá,boɾdiaː,TVR.TVV,CVC.CVV
Borrecido,boresido,TV.RV.SV.TV,CV.CV.CV.CV
Bota,bota,TV.TV,CV.CV
Botle,botle,TV.TRV,CV.CCV
botei,botei,TV.TVV,CV.CVV
bottal,botːal,TV.TTVR,CV.CCVC
Bottle-vinho,botːleʋiɲo,TV.TTRV.TV.RV,CV.CCCV.CV.CV
Boutic,boutik,TVV.TV.T,CVV.CV.C
Boutiqueiro,boutikeiɾo,TVV.TV.TVV.RV,CVV.CV.CVV.CV
Boventade,boʋentade,TV.TVR.TV.TV,CV.CVC.CV.CV
bovantade,boʋantade,TV.TVR.TV.TV,CV.CVC.CV.CV
Boventademente,boʋentademente,TV.TVR.TV.TV.RVR.TV,CV.CVC.CV.CV.CVC.CV
Bocs,boks,TV.TS,CV.CC
Branca,bɾanka,TRVR.TV,CCVC.CV
Branda,bɾanda,TRVR.TV,CCVC.CV
Brandi,bɾandi,TRVR.TV,CCVC.CV
Branquéza,bɾankeːza,TRVR.TV.TV,CCVC.CV.CV
Brao,bɾao,TRVV,CCVV
brau,bɾau,TRVV,CCVV
Braviá,bɾaʋiaː,TRV.TVV,CCV.CVV
Brazá,bɾazaː,TRV.TV,CCV.CV
Bremellio,bɾemelio,TRV.RVRRVV,CCV.CVCCVV
brimellio,bɾimelio,TRV.RVRRVV,CCV.CVCCVV
brimalho,bɾimaʎo,TRV.RVRV,CCV.CVCV
brimejo,bɾimed̠ʒo,TRV.RV.TV,CCV.CV.CV
Brinc'-de-fogo,bɾinkdefogo,TRVR.TTV.TV.TV,CCVC.CCV.CV.CV
Búrdar,buːɾdaɾ,TVR.TVR,CVC.CVC
Bruffà,bɾufaː,TRV.TV,CCV.CV
Bruffador,bɾufadoɾ,TRV.TV.TVR,CCV.CV.CVC
Bruffamento,bɾufamento,TRV.TV.RVR.TV,CCV.CV.CVC.CV
Bruço,bɾuso,TRV.SV,CCV.CV
Buco,buko,TV.TV,CV.CV
búku,buːku,TV.TV,CV.CV
Bunaca,bunaka,TV.RV.TV,CV.CV.CV
Bunito,bunito,TV.RV.TV,CV.CV.CV
Burà,buɾaː,TV.RV,CV.CV
